,0
475,"[176, 410]"
476,"[179, 412]"
477,"[184, 414]"
478,"[189, 415]"
479,"[197, 415]"
480,"[206, 415]"
481,"[216, 413]"
482,"[226, 410]"
483,"[235, 404]"
484,"[243, 397]"
485,"[253, 377]"
486,"[253, 377]"
487,"[256, 367]"
488,"[256, 356]"
489,"[256, 347]"
490,"[254, 337]"
491,"[250, 329]"
492,"[245, 322]"
493,"[240, 315]"
494,"[234, 310]"
495,"[228, 307]"
496,"[223, 307]"
497,"[216, 315]"
498,"[214, 324]"
499,"[213, 333]"
500,"[213, 343]"
501,"[214, 354]"
502,"[216, 364]"
503,"[218, 373]"
504,"[221, 383]"
505,"[225, 392]"
506,"[225, 392]"
507,"[231, 400]"
508,"[238, 406]"
509,"[256, 417]"
510,"[266, 420]"
511,"[278, 423]"
512,"[290, 423]"
513,"[301, 423]"
514,"[311, 420]"
515,"[320, 416]"
516,"[327, 409]"
517,"[333, 401]"
518,"[336, 393]"
519,"[338, 384]"
520,"[339, 379]"
521,"[339, 376]"
522,"[339, 377]"
523,"[338, 379]"
524,"[336, 382]"
525,"[335, 382]"
526,"[334, 381]"
527,"[334, 380]"
528,"[333, 380]"
529,"[333, 379]"
530,"[333, 379]"
531,"[332, 379]"
532,"[332, 380]"
533,"[331, 380]"
534,"[331, 381]"
535,"[330, 381]"
536,"[330, 381]"
537,"[330, 381]"
538,"[330, 381]"
539,"[330, 382]"
540,"[329, 382]"
541,"[330, 383]"
542,"[329, 383]"
543,"[330, 383]"
544,"[330, 383]"
545,"[330, 383]"
546,"[329, 384]"
547,"[330, 384]"
548,"[329, 384]"
549,"[329, 384]"
550,"[330, 384]"
551,"[330, 385]"
552,"[329, 385]"
553,"[329, 385]"
554,"[329, 385]"
555,"[329, 385]"
556,"[329, 385]"
557,"[329, 385]"
558,"[329, 385]"
559,"[330, 385]"
560,"[330, 384]"
561,"[330, 385]"
562,"[330, 385]"
563,"[330, 385]"
564,"[330, 385]"
565,"[330, 385]"
566,"[330, 385]"
567,"[330, 385]"
568,"[330, 385]"
569,"[331, 385]"
570,"[330, 385]"
571,"[331, 385]"
572,"[331, 386]"
573,"[331, 385]"
574,"[331, 385]"
575,"[331, 385]"
